================ Training Loss (Wed Mar  4 15:35:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.334, data: 0.187) , G_GAN: 0.960, G_L1: 4.987, G_delta_bg: 0.000, D_real: 0.636, D_fake: 0.583

[Rank 0] (epoch: 1, iters: 200, time: 0.325, data: 0.003) , G_GAN: 0.994, G_L1: 4.457, G_delta_bg: 0.000, D_real: 0.070, D_fake: 0.086

[Rank 0] (epoch: 2, iters: 60, time: 0.319, data: 0.003) , G_GAN: 0.950, G_L1: 7.177, G_delta_bg: 0.000, D_real: 0.019, D_fake: 0.017

[Rank 0] (epoch: 2, iters: 160, time: 0.750, data: 0.004) , G_GAN: 0.909, G_L1: 6.776, G_delta_bg: 0.000, D_real: 0.018, D_fake: 0.017

[Rank 0] (epoch: 3, iters: 20, time: 0.308, data: 0.003) , G_GAN: 1.014, G_L1: 6.430, G_delta_bg: 0.000, D_real: 0.012, D_fake: 0.009

[Rank 0] (epoch: 3, iters: 120, time: 0.312, data: 0.004) , G_GAN: 0.969, G_L1: 4.781, G_delta_bg: 0.000, D_real: 0.028, D_fake: 0.025

[Rank 0] (epoch: 3, iters: 220, time: 0.328, data: 0.003) , G_GAN: 1.061, G_L1: 5.718, G_delta_bg: 0.000, D_real: 0.066, D_fake: 0.047

[Rank 0] (epoch: 4, iters: 80, time: 0.759, data: 0.003) , G_GAN: 0.925, G_L1: 6.758, G_delta_bg: 0.000, D_real: 0.035, D_fake: 0.064

[Rank 0] (epoch: 4, iters: 180, time: 0.326, data: 0.003) , G_GAN: 0.948, G_L1: 4.680, G_delta_bg: 0.000, D_real: 0.015, D_fake: 0.011

[Rank 0] (epoch: 5, iters: 40, time: 0.318, data: 0.004) , G_GAN: 0.982, G_L1: 5.110, G_delta_bg: 0.000, D_real: 0.050, D_fake: 0.060

[Rank 0] (epoch: 5, iters: 140, time: 0.315, data: 0.003) , G_GAN: 0.983, G_L1: 6.707, G_delta_bg: 0.000, D_real: 0.012, D_fake: 0.012

[Rank 0] (epoch: 5, iters: 240, time: 0.726, data: 0.003) , G_GAN: 0.988, G_L1: 4.865, G_delta_bg: 0.000, D_real: 0.017, D_fake: 0.018

[Rank 0] (epoch: 6, iters: 100, time: 0.328, data: 0.210) , G_GAN: 0.988, G_L1: 7.051, G_delta_bg: 0.000, D_real: 0.057, D_fake: 0.056

[Rank 0] (epoch: 6, iters: 200, time: 0.307, data: 0.003) , G_GAN: 1.042, G_L1: 6.600, G_delta_bg: 0.000, D_real: 0.013, D_fake: 0.007

[Rank 0] (epoch: 7, iters: 60, time: 0.312, data: 0.003) , G_GAN: 1.025, G_L1: 6.632, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.006

[Rank 0] (epoch: 7, iters: 160, time: 0.725, data: 0.004) , G_GAN: 0.970, G_L1: 6.362, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.012

[Rank 0] (epoch: 8, iters: 20, time: 0.307, data: 0.003) , G_GAN: 1.034, G_L1: 4.546, G_delta_bg: 0.000, D_real: 0.019, D_fake: 0.011

[Rank 0] (epoch: 8, iters: 120, time: 0.306, data: 0.003) , G_GAN: 0.992, G_L1: 6.931, G_delta_bg: 0.000, D_real: 0.028, D_fake: 0.033

[Rank 0] (epoch: 8, iters: 220, time: 0.306, data: 0.005) , G_GAN: 0.976, G_L1: 4.953, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.005

[Rank 0] (epoch: 9, iters: 80, time: 0.721, data: 0.004) , G_GAN: 0.899, G_L1: 6.443, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.012

[Rank 0] (epoch: 9, iters: 180, time: 0.306, data: 0.003) , G_GAN: 1.023, G_L1: 5.797, G_delta_bg: 0.000, D_real: 0.032, D_fake: 0.030

[Rank 0] (epoch: 10, iters: 40, time: 0.316, data: 0.003) , G_GAN: 1.020, G_L1: 7.099, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.002

[Rank 0] (epoch: 10, iters: 140, time: 0.308, data: 0.005) , G_GAN: 1.017, G_L1: 4.264, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.006

[Rank 0] (epoch: 10, iters: 240, time: 0.713, data: 0.004) , G_GAN: 0.972, G_L1: 6.348, G_delta_bg: 0.000, D_real: 0.015, D_fake: 0.008

[Rank 0] (epoch: 11, iters: 100, time: 0.307, data: 0.209) , G_GAN: 1.029, G_L1: 4.995, G_delta_bg: 0.000, D_real: 0.032, D_fake: 0.028

[Rank 0] (epoch: 11, iters: 200, time: 0.305, data: 0.003) , G_GAN: 1.012, G_L1: 6.496, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.004

[Rank 0] (epoch: 12, iters: 60, time: 0.309, data: 0.004) , G_GAN: 1.058, G_L1: 7.126, G_delta_bg: 0.000, D_real: 0.250, D_fake: 0.151

[Rank 0] (epoch: 12, iters: 160, time: 0.728, data: 0.004) , G_GAN: 0.974, G_L1: 4.635, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.005

[Rank 0] (epoch: 13, iters: 20, time: 0.307, data: 0.003) , G_GAN: 0.975, G_L1: 6.951, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.002

[Rank 0] (epoch: 13, iters: 120, time: 0.308, data: 0.004) , G_GAN: 0.947, G_L1: 6.672, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.003

[Rank 0] (epoch: 13, iters: 220, time: 0.308, data: 0.003) , G_GAN: 0.977, G_L1: 4.845, G_delta_bg: 0.000, D_real: 0.011, D_fake: 0.003

[Rank 0] (epoch: 14, iters: 80, time: 0.738, data: 0.003) , G_GAN: 0.990, G_L1: 4.559, G_delta_bg: 0.000, D_real: 0.004, D_fake: 0.003

[Rank 0] (epoch: 14, iters: 180, time: 0.323, data: 0.004) , G_GAN: 1.021, G_L1: 4.387, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.007

[Rank 0] (epoch: 15, iters: 40, time: 0.304, data: 0.003) , G_GAN: 1.015, G_L1: 6.994, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.003

[Rank 0] (epoch: 15, iters: 140, time: 0.306, data: 0.004) , G_GAN: 0.993, G_L1: 6.834, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.007

[Rank 0] (epoch: 15, iters: 240, time: 0.705, data: 0.004) , G_GAN: 1.000, G_L1: 5.003, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.003

[Rank 0] (epoch: 16, iters: 100, time: 0.315, data: 0.215) , G_GAN: 1.011, G_L1: 4.805, G_delta_bg: 0.000, D_real: 0.021, D_fake: 0.010

[Rank 0] (epoch: 16, iters: 200, time: 0.314, data: 0.003) , G_GAN: 1.054, G_L1: 6.542, G_delta_bg: 0.000, D_real: 0.055, D_fake: 0.046

[Rank 0] (epoch: 17, iters: 60, time: 0.313, data: 0.004) , G_GAN: 0.947, G_L1: 4.370, G_delta_bg: 0.000, D_real: 0.004, D_fake: 0.002

[Rank 0] (epoch: 17, iters: 160, time: 0.725, data: 0.004) , G_GAN: 1.003, G_L1: 6.663, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.004

[Rank 0] (epoch: 18, iters: 20, time: 0.308, data: 0.003) , G_GAN: 1.062, G_L1: 4.705, G_delta_bg: 0.000, D_real: 0.005, D_fake: 0.002

[Rank 0] (epoch: 18, iters: 120, time: 0.309, data: 0.005) , G_GAN: 0.971, G_L1: 6.253, G_delta_bg: 0.000, D_real: 0.010, D_fake: 0.010

[Rank 0] (epoch: 18, iters: 220, time: 0.306, data: 0.005) , G_GAN: 0.971, G_L1: 4.318, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.003

[Rank 0] (epoch: 19, iters: 80, time: 0.722, data: 0.004) , G_GAN: 0.991, G_L1: 4.571, G_delta_bg: 0.000, D_real: 0.006, D_fake: 0.009

[Rank 0] (epoch: 19, iters: 180, time: 0.325, data: 0.003) , G_GAN: 0.959, G_L1: 4.676, G_delta_bg: 0.000, D_real: 0.003, D_fake: 0.006

[Rank 0] (epoch: 20, iters: 40, time: 0.307, data: 0.004) , G_GAN: 1.031, G_L1: 6.113, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.009

[Rank 0] (epoch: 20, iters: 140, time: 0.306, data: 0.003) , G_GAN: 1.006, G_L1: 5.185, G_delta_bg: 0.000, D_real: 0.010, D_fake: 0.011

